,Unnamed: 0,sentence,text_no_eraab,pinglish_from_errab,pinglish_from_no_errab
162002,162002,گردشگران از اَرگ تاریخی بازدید کردند.,گردشگران از ارگ تاریخی بازدید کردند.,gardeSgaran ?az ?arge tArixi bAzdid kardand,gardeSgaran ?az ?arge tArixi bAzdid kardand
172723,172723,هیچ‌کس مثل سَر نمی‌تواند خانواده را هدایت کند.,هیچ‌کس مثل سر نمی‌تواند خانواده را هدایت کند.,hiC kas mesleye sar nemitavAnad xAnevAde rA hedAyat konad,hiC kas mesleye sar nemitavAnad xAnevAde rA hedAyat konad
164582,164582,اَشکال موجود باید برطرف شود.,اشکال موجود باید برطرف شود.,?eSkAle mojud bAyad bartaraf Savad,?eSkAle mojud bAyad bartaraf Savad
116627,116627,خیابان پَهْن بود.,خیابان پهن بود.,xiyAbAn pahn bud,xiyAbAn pahn bud
125271,125271,کِرَک‌های قدیمی را ترمیم کردند.,کرک‌های قدیمی را ترمیم کردند.,korkhAye qadimi rA tarmim kardand,korkhAye qadimi rA tarmim kardand
145353,145353,این طلا ۲۰ گِرَم وزن دارد.,این طلا ۲۰ گرم وزن دارد.,?in talA bist geram vazn dArad,?in talA bist geram vazn dArad
177157,177157,قِسْم همیشه در داستان‌های قدیمی ذکر شده‌است.,قسم همیشه در داستان‌های قدیمی ذکر شده‌است.,qesm hamiSe dar dAstAnhAye qadimi zekr Sodeast,qasam hamiSe dar dAstAnhAye qadimi zekr Sodeast
106132,106132,پَر طاووس زیباست.,پر طاووس زیباست.,pare tAvus zibAst,pare tAvus zibAst
39294,39294,او در دوران نوجوانی ورزشکار بود.,او در دوران نوجوانی ورزشکار بود.,?u dar dorAne nojavAni varzeSkAr bud,?u dar dorAne nojavAni varzeSkAr bud
54764,54764,هتل برای زُوّار آماده شده بود.,هتل برای زوار آماده شده بود.,hotel barAye zubAr ?AmAde Sode bud,hotel barAye zavAr ?AmAde Sode bud
55592,55592,صندلی زَوار در رفته است.,صندلی زوار در رفته است.,sandali zavAr dar rafte ?ast,sandali zavAr dar rafte ?ast
135783,135783,لباس کُلُفت برای زمستان است.,لباس کلفت برای زمستان است.,lebAse koloft barAye zemestAn ?ast,lebAse koloft barAye zemestAn ?ast
